1244;1464
484;102
1877;377
1534;1663
1001;1025
296;310
538;312
1668;1662
399;629
109;836
1504;1812
625;1629
60;55
1098;1360
188;1626
1427;1898
789;1916
129;146
1802;1536
141;1425
208;191
339;1134
1031;1766
409;300
610;132
164;888
569;1788
565;1188
43;184
1022;1537
1246;204
1544;665
1019;396
270;1270
55;843
539;1292
970;726
250;266
48;1298
1265;1201
132;376
1191;1070
206;985
0;259
26;900
647;333
291;135
1255;1469
531;506
1529;555
388;381
286;286
68;78
776;1274
69;205
1438;1825
1086;1276
261;1527
177;310
16;47
1586;332
492;476
1114;1067
129;387
1418;1162
388;376
79;1376
89;1271
63;580
1263;1812
757;503
1440;94
127;159
594;536
350;975
439;1750
1625;1535
1209;1959
109;1424
1016;391
1343;1289
1191;1191
90;56
1923;1774
1756;1814
299;300
1816;1770
47;16
165;63
380;383
274;1086
1937;1726
107;1106
1318;784
467;455
353;1447
42;877
1156;1680
1316;1067
437;1951
533;0
789;914
1107;608
1566;1750
500;707
822;588
272;1002
816;317
1002;504
1181;665
273;271
536;48
1548;27
230;728
1379;82
1145;1266
160;1039
671;195
1640;1637
779;750
340;687
1968;1500
318;382
1321;1313
631;689
20;47
414;1945
24;86
7;81
830;674
76;316
1515;554
627;1641
1714;689
1537;596
713;1512
503;569
292;872
212;384
1687;1564
1339;1019
334;1631
103;362
224;1224
1065;1
54;175
1013;294
35;121
727;939
553;1998
597;781
64;127
605;576
1399;164
660;957
1512;528
1417;844
1754;757
337;1328
786;394
882;1949
1426;1058
163;878
1223;1419
4;1008
837;259
32;3
305;291
1003;1095
224;1220
1024;1549
263;1837
322;187
575;536
602;313
1101;1095
22;505
777;500
1248;871
695;704
1021;1054
11;256
1151;1672
666;164
12;1293
1018;16
1800;1807
1101;1610
961;645
1020;1630
1727;1410
1141;1520
389;1389
1186;178
1220;1447
1408;1386
541;641
1602;1344
1812;1093
1907;1539
100;324
1770;1516
926;1923
1212;1687
1076;1196
564;1691
13;1384
26;260
127;1253
908;162
1267;1392
1502;264
22;510
751;892
82;30
362;267
1945;1405
1599;162
110;101
64;1603
531;183
551;647
232;140
633;133
406;392
1444;692
193;972
451;41
1928;182
1541;810
276;1752
1062;486
1759;525
581;588
1376;1223
1006;1012
440;1319
1587;593
465;1633
116;1029
178;137
1142;1456
1684;621
187;1097
1020;31
562;16
4;59
1412;1638
812;784
1313;157
138;310
332;270
1351;1281
1022;1022
540;1536
1343;1853
320;343
112;629
1405;1946
1626;1382
1564;1627
1556;1559
698;65
1755;1255
1037;1553
254;13
637;625
1773;781
1347;855
349;850
1903;802
947;1934
1673;618
185;158
835;1523
1286;1254
590;512
1691;1192
1079;62
1;8
1880;1763
0;33
88;1035
1752;1883
321;1071
349;1156
846;440
53;254
32;789
935;993
235;681
1042;15
267;386
109;93
1297;1273
36;44
1924;414
293;294
277;1456
912;789
786;112
1332;375
52;423
102;20
504;1504
218;328
1625;940
277;27
1511;1261
375;93
427;396
781;757
329;462
908;1643
729;850
1314;1349
1568;1006
547;891
1530;776
625;1513
289;293
1509;1009
1086;1705
270;359
1624;737
1798;1800
110;329
152;526
512;1658
1129;131
838;944
346;288
313;1100
605;1598
62;783
343;343
1854;1531
109;692
196;696
256;1250
188;114
439;937
1258;1259
1699;199
1380;1879
1689;1385
577;1557
1845;314
62;605
1832;831
992;990
509;1251
9;39
1992;1660
0;1
31;292
1543;256
1750;1695
508;70
625;1625
1000;1039
1090;1066
332;303
18;84
361;436
1770;266
1361;1838
35;230
528;512
1510;1573
85;82
18;1127
674;1745
1037;515
220;174
85;368
106;528
1100;1231
1530;690
297;416
485;1282
114;63
548;1529
1286;1149
1191;984
479;323
687;665
1510;1752
1039;1103
1092;1828
507;503
85;1053
72;1603
1472;1472
562;107
1;191
316;1334
925;281
